2N3906-D,ON Semiconductor,2N3906,polarity,PNP
2N3906-D,ON Semiconductor,2N3906,ce_v_max,40
2N3906-D,ON Semiconductor,2N3906,cb_v_max,40
2N3906-D,ON Semiconductor,2N3906,eb_v_max,5.0
2N3906-D,ON Semiconductor,2N3906,c_current_max,200
2N3906-D,ON Semiconductor,2N3906,dev_dissipation,625
2N3906-D,ON Semiconductor,2N3906,stg_temp_min,-55
2N3906-D,ON Semiconductor,2N3906,stg_temp_max,150
2N3906-D,ON Semiconductor,2N3906,dc_gain_min,30
2N3906-D,ON Semiconductor,2N3906,dc_gain_min,60
2N3906-D,ON Semiconductor,2N3906,dc_gain_min,80
2N3906-D,ON Semiconductor,2N3906,dc_gain_min,100
2N3906-D,ON Semiconductor,2N3906G,polarity,PNP
2N3906-D,ON Semiconductor,2N3906G,ce_v_max,40
2N3906-D,ON Semiconductor,2N3906G,cb_v_max,40
2N3906-D,ON Semiconductor,2N3906G,eb_v_max,5.0
2N3906-D,ON Semiconductor,2N3906G,c_current_max,200
2N3906-D,ON Semiconductor,2N3906G,dev_dissipation,625
2N3906-D,ON Semiconductor,2N3906G,stg_temp_min,-55
2N3906-D,ON Semiconductor,2N3906G,stg_temp_max,150
2N3906-D,ON Semiconductor,2N3906G,dc_gain_min,30
2N3906-D,ON Semiconductor,2N3906G,dc_gain_min,60
2N3906-D,ON Semiconductor,2N3906G,dc_gain_min,80
2N3906-D,ON Semiconductor,2N3906G,dc_gain_min,100
2N3906-D,ON Semiconductor,2N3906RL1,polarity,PNP
2N3906-D,ON Semiconductor,2N3906RL1,ce_v_max,40
2N3906-D,ON Semiconductor,2N3906RL1,cb_v_max,40
2N3906-D,ON Semiconductor,2N3906RL1,eb_v_max,5.0
2N3906-D,ON Semiconductor,2N3906RL1,c_current_max,200
2N3906-D,ON Semiconductor,2N3906RL1,dev_dissipation,625
2N3906-D,ON Semiconductor,2N3906RL1,stg_temp_min,-55
2N3906-D,ON Semiconductor,2N3906RL1,stg_temp_max,150
2N3906-D,ON Semiconductor,2N3906RL1,dc_gain_min,30
2N3906-D,ON Semiconductor,2N3906RL1,dc_gain_min,60
2N3906-D,ON Semiconductor,2N3906RL1,dc_gain_min,80
2N3906-D,ON Semiconductor,2N3906RL1,dc_gain_min,100
2N3906-D,ON Semiconductor,2N3906RL1G,polarity,PNP
2N3906-D,ON Semiconductor,2N3906RL1G,ce_v_max,40
2N3906-D,ON Semiconductor,2N3906RL1G,cb_v_max,40
2N3906-D,ON Semiconductor,2N3906RL1G,eb_v_max,5.0
2N3906-D,ON Semiconductor,2N3906RL1G,c_current_max,200
2N3906-D,ON Semiconductor,2N3906RL1G,dev_dissipation,625
2N3906-D,ON Semiconductor,2N3906RL1G,stg_temp_min,-55
2N3906-D,ON Semiconductor,2N3906RL1G,stg_temp_max,150
2N3906-D,ON Semiconductor,2N3906RL1G,dc_gain_min,30
2N3906-D,ON Semiconductor,2N3906RL1G,dc_gain_min,60
2N3906-D,ON Semiconductor,2N3906RL1G,dc_gain_min,80
2N3906-D,ON Semiconductor,2N3906RL1G,dc_gain_min,100
2N3906-D,ON Semiconductor,2N3906RLRA,polarity,PNP
2N3906-D,ON Semiconductor,2N3906RLRA,ce_v_max,40
2N3906-D,ON Semiconductor,2N3906RLRA,cb_v_max,40
2N3906-D,ON Semiconductor,2N3906RLRA,eb_v_max,5.0
2N3906-D,ON Semiconductor,2N3906RLRA,c_current_max,200
2N3906-D,ON Semiconductor,2N3906RLRA,dev_dissipation,625
2N3906-D,ON Semiconductor,2N3906RLRA,stg_temp_min,-55
